,carat,cut,color,clarity,depth,table,price,x,y,z
1105,0.33,Ideal,D,SI1,62.8,55.0,780,4.45,4.41,2.78
1106,1.16,Premium,G,VS2,59.9,60.0,7074,6.85,6.88,4.11
1107,1.16,Premium,D,I1,61.8,59.0,3711,6.78,6.74,4.18
1108,0.7,Premium,D,SI1,60.8,58.0,2473,5.79,5.66,3.48
1109,0.52,Very Good,G,VVS2,61.8,59.0,1911,5.13,5.16,3.18
1110,1.29,Very Good,I,VS1,61.1,58.0,5562,6.98,7.03,4.28
1111,0.9,Very Good,H,VVS2,59.7,62.0,4842,6.2,6.23,3.71
1112,0.59,Very Good,F,SI1,61.7,57.0,1412,5.39,5.43,3.34
1113,0.5,Very Good,F,VS1,62.3,55.0,1710,5.06,5.09,3.16
1114,0.36,Premium,D,SI1,59.6,58.0,851,4.65,4.61,2.76
1115,1.73,Ideal,I,VS1,61.4,57.0,13250,7.7,7.65,4.71
1116,1.01,Very Good,E,VS2,63.4,60.0,6787,6.37,6.31,4.02
1117,0.9,Good,I,VVS2,64.8,55.0,3718,6.04,6.15,3.95
1118,0.31,Very Good,H,SI1,62.4,60.0,446,4.32,4.34,2.7
1119,0.55,Ideal,F,VS2,60.9,56.0,1709,5.3,5.34,3.24
1120,0.32,Ideal,E,VS2,62.0,57.0,900,4.41,4.39,2.73
1121,1.04,Very Good,E,IF,63.6,58.0,11269,6.41,6.43,4.08
1122,0.82,Very Good,F,VVS2,63.1,59.0,4141,5.91,5.97,3.75
1123,2.04,Premium,H,SI2,62.8,57.0,13790,8.13,8.08,5.09
1124,1.23,Premium,G,VVS2,59.6,59.0,8971,6.98,6.95,4.15
1125,1.22,Premium,H,VS1,62.2,58.0,5773,6.84,6.76,4.23
1126,0.36,Ideal,G,VS2,60.6,56.0,664,4.62,4.67,2.81
1127,1.04,Good,J,VS2,57.4,60.0,3844,6.76,6.72,3.87
1128,0.71,Very Good,E,SI1,59.3,55.0,2573,5.83,5.9,3.48
1129,0.42,Ideal,G,VVS1,60.6,56.0,1235,4.88,4.86,2.95
1130,0.85,Ideal,E,SI1,60.7,57.0,4181,6.11,6.14,3.72
1131,0.31,Premium,I,SI1,60.7,58.0,593,4.42,4.38,2.67
1132,0.7,Very Good,H,VS2,62.3,56.0,2276,5.66,5.7,3.54
1133,1.51,Very Good,I,IF,62.1,59.0,12291,7.25,7.31,4.52
1134,0.8,Very Good,H,SI2,63.4,58.0,2502,5.87,5.84,3.71
1135,1.23,Very Good,H,VS1,,53.0,7276,6.93,6.98,4.26
1136,0.41,Premium,E,VVS2,60.9,60.0,1243,4.82,4.81,2.93
1137,1.13,Premium,G,SI2,60.0,61.0,4518,6.78,6.71,4.05
1138,0.36,Ideal,I,VS1,60.5,57.0,568,4.56,4.59,2.77
1139,0.4,Premium,F,VS1,61.9,59.0,982,4.67,4.7,2.9
1140,1.5,Ideal,F,VS2,61.7,54.0,14092,7.28,7.31,4.5
1141,0.53,Ideal,G,VVS1,61.3,56.0,2015,5.22,5.26,3.21
1142,0.48,Very Good,E,VS1,59.1,62.0,1616,5.14,5.18,3.05
1143,2.01,Premium,J,SI1,62.3,59.0,12048,8.03,7.97,4.98
1144,1.22,Ideal,H,SI2,61.7,56.0,5502,6.87,6.93,4.26
1145,1.0,Good,G,SI2,64.0,55.0,3941,6.3,6.26,4.02
1146,1.04,Ideal,F,SI2,62.4,56.0,4486,6.4,6.48,4.02
1147,0.92,Ideal,D,SI2,60.3,56.0,3997,6.32,6.35,3.82
1148,0.53,Ideal,G,VVS2,62.6,56.0,1914,5.19,5.16,3.24
1149,0.9,Fair,I,VVS1,63.5,57.0,4194,5.98,6.09,3.83
1150,0.35,Ideal,E,VS2,62.5,55.0,984,4.52,4.5,2.82
1151,0.4,Ideal,E,SI1,63.2,56.0,684,4.66,4.71,2.96
1152,1.21,Very Good,J,VS2,62.4,58.0,4191,6.79,6.83,4.25
1153,0.7,Premium,H,VS1,61.9,56.0,2367,5.7,5.67,3.52
1154,0.43,Ideal,D,VVS1,61.9,54.0,1754,4.83,4.87,3.0
1155,0.52,Very Good,D,VS1,62.6,59.0,1860,5.03,5.13,3.18
1156,0.9,Ideal,H,SI2,62.0,57.0,3516,6.19,6.17,3.83
1157,1.34,Premium,G,SI2,62.2,56.0,6581,7.08,7.0,4.38
1158,0.7,Premium,H,VS1,62.3,60.0,2333,5.65,5.61,3.51
1159,0.42,Ideal,E,VVS1,62.1,55.0,1400,4.78,4.81,2.98
1160,1.02,Very Good,E,VVS2,60.3,58.0,8745,6.53,6.57,3.95
1161,0.31,Ideal,H,SI1,61.3,57.0,421,4.36,4.38,2.68
1162,1.73,Premium,F,SI1,58.0,62.0,13365,7.95,7.91,4.6
1163,0.71,Premium,F,IF,61.1,58.0,3578,5.8,5.72,3.52
1164,0.34,Premium,D,SI2,60.7,61.0,650,4.51,4.45,2.72
1165,0.7,Very Good,H,SI2,61.6,56.1,2306,5.72,5.77,3.53
1166,0.3,Premium,D,VS2,62.9,59.0,911,4.27,4.22,2.67
1167,0.36,Very Good,D,,63.2,56.0,794,4.56,4.52,2.87
1168,1.5,Premium,I,VS1,62.7,59.0,9900,7.25,7.3,4.56
1169,2.32,Ideal,J,VS1,62.5,54.5,17891,8.44,8.47,5.28
1170,1.32,Premium,G,SI2,59.2,61.0,4373,7.21,7.14,4.25
1171,2.0,Very Good,G,SI1,61.8,61.0,18524,8.0,8.09,4.97
1172,1.18,Very Good,G,VS2,62.7,54.7,8411,6.74,6.77,4.23
1173,0.37,Ideal,H,SI1,59.7,56.0,684,4.71,4.67,2.8
1174,0.33,Ideal,G,IF,61.0,55.0,946,4.49,4.52,2.75
1175,1.01,Very Good,E,SI2,63.2,59.0,4561,6.38,6.34,4.02
1176,0.31,Good,I,VS2,63.2,55.0,435,4.3,4.4,2.75
1177,0.3,Very Good,D,SI2,63.4,56.0,574,4.29,4.26,2.71
1178,0.72,Ideal,H,SI2,61.3,56.0,2372,5.75,5.77,3.53
1179,1.01,Very Good,G,VVS2,63.2,59.0,7267,6.35,6.27,3.99
1180,0.41,Ideal,G,VS1,61.9,57.0,899,4.76,4.81,2.96
1181,0.3,Good,D,SI1,63.2,56.0,552,4.24,4.27,2.69
1182,0.4,Very Good,H,VVS1,60.5,59.0,900,4.73,4.76,2.87
1183,1.37,Ideal,G,IF,62.3,54.0,13439,7.11,7.15,4.43
1184,1.1,Ideal,H,SI1,61.6,57.0,5278,6.63,6.61,4.08
1185,0.23,Good,F,VVS1,60.3,66.0,472,3.93,3.96,2.38
1186,0.57,Ideal,E,VVS2,61.5,55.9,2615,5.31,5.35,3.28
1187,0.53,Very Good,G,VS1,59.6,58.0,1655,5.24,5.31,3.15
1188,0.9,Ideal,E,SI2,61.9,54.0,3958,6.23,6.18,3.84
1189,1.62,Ideal,F,VS1,61.3,56.0,16790,7.54,7.63,4.65
1190,0.31,Ideal,E,VS2,62.4,54.0,872,4.35,4.31,2.7
1191,0.56,Ideal,H,IF,61.3,56.0,2135,5.32,5.35,3.27
1192,0.85,Ideal,G,VS1,61.8,55.0,4373,6.09,6.11,3.77
1193,0.7,Fair,E,SI2,70.6,56.0,1828,5.45,5.35,3.81
1194,0.51,Ideal,E,SI1,61.7,57.0,1402,5.15,5.12,3.17
1195,0.7,Ideal,H,SI2,62.1,55.0,2110,5.69,5.72,3.54
1196,0.52,Premium,E,SI2,61.1,57.0,1088,5.23,5.12,3.16
1197,1.04,Good,H,SI2,,58.0,4193,6.72,6.68,3.88
1198,0.65,Ideal,D,VVS1,60.9,57.0,5052,5.58,5.61,3.41
1199,0.38,Premium,E,VS1,60.2,58.0,1069,4.71,4.66,2.82
1200,0.72,Ideal,F,SI2,61.6,57.0,2074,5.75,5.68,3.52
1201,0.51,Good,G,SI2,63.2,57.0,1002,5.03,5.07,3.19
1202,1.09,Ideal,E,SI2,59.4,57.0,3760,6.74,6.65,3.98
1203,0.71,Premium,E,SI1,59.1,61.0,2863,5.84,5.8,3.44
1204,0.73,Good,E,I1,56.9,60.0,1628,5.98,5.93,3.39
1205,1.0,Ideal,I,VS2,62.4,52.0,4841,6.41,6.45,4.02
1206,1.24,Ideal,I,SI2,60.7,57.0,4937,6.98,6.92,4.22
1207,0.39,Very Good,J,VVS1,61.8,56.0,718,4.64,4.71,2.89
1208,0.94,Premium,F,SI2,62.6,57.0,3869,6.27,6.25,3.92
1209,0.31,Ideal,I,VVS1,62.1,54.0,511,4.34,4.39,2.71
1210,1.04,Ideal,H,VS1,62.5,53.0,6368,6.5,6.52,4.07
1211,0.91,Very Good,H,VS2,60.8,58.0,4430,6.21,6.25,3.79
1212,1.01,Premium,H,SI2,61.9,61.0,3394,6.34,6.29,3.91
1213,0.54,Ideal,G,VS1,62.0,53.9,1745,5.22,5.24,3.24
1214,0.32,Premium,G,VS2,61.5,60.0,720,4.42,4.4,2.71
1215,0.76,Premium,E,SI1,61.1,58.0,2897,5.91,5.85,3.59
1216,1.05,Good,E,VS1,63.1,59.0,7826,6.45,6.49,4.08
1217,0.61,Very Good,G,SI1,62.0,58.0,1659,5.43,5.48,3.38
1218,0.7,Ideal,F,VS1,62.4,56.0,3199,5.67,5.65,3.53
1219,1.2,Premium,H,VS1,58.5,61.0,6720,6.98,6.93,4.07
1220,1.24,Very Good,F,VS2,60.9,60.0,8907,6.96,6.93,4.23
1221,1.0,Very Good,E,SI1,61.9,62.0,4864,6.34,6.4,3.94
1222,1.51,Very Good,F,VVS2,61.3,61.0,17203,7.33,7.36,4.5
1223,0.59,Premium,H,SI1,62.9,60.0,1265,5.34,5.24,3.33
1224,0.4,Very Good,G,IF,61.0,59.0,1154,4.75,4.79,2.91
1225,0.57,Very Good,H,VVS2,60.2,56.0,1726,5.41,5.44,3.27
1226,0.32,Premium,G,VVS2,62.0,55.0,936,4.42,4.39,2.73
1227,0.34,Ideal,D,SI1,61.5,53.0,626,4.51,4.53,2.78
1228,0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37
1229,0.55,Premium,E,VS2,61.5,56.0,1881,5.28,5.25,3.24
1230,0.5,Ideal,E,VS2,61.4,57.0,1624,5.08,5.11,3.13
1231,0.27,Good,E,VVS1,63.9,57.0,752,4.1,4.07,2.61
1232,0.31,Very Good,D,SI2,61.8,60.0,462,4.33,4.37,2.69
1233,0.51,Premium,G,VVS2,59.1,59.0,1974,5.21,5.18,3.07
1234,0.3,Ideal,H,VVS2,61.5,56.0,581,4.34,4.38,2.68
1235,1.56,Premium,H,VS1,62.0,57.0,11345,7.48,7.43,4.62
1236,0.41,Premium,D,SI2,61.2,59.0,683,4.77,4.8,2.93
1237,0.24,Ideal,H,VVS1,62.4,56.0,449,3.99,4.03,2.5
1238,0.7,Premium,G,VS2,58.7,53.0,2586,5.86,5.83,3.43
1239,1.01,Very Good,I,SI1,62.9,58.0,4759,6.36,6.4,4.01
1240,0.56,Very Good,E,VVS2,60.3,57.0,2304,5.33,5.37,3.23
1241,1.11,Ideal,G,SI1,62.6,57.0,5428,6.64,6.56,4.13
1242,0.33,Ideal,D,SI2,62.0,57.0,631,4.46,4.45,2.76
1243,2.27,Premium,I,SI1,61.0,58.0,14362,8.42,8.4,5.19
1244,0.34,Ideal,G,VVS1,62.1,55.0,895,4.46,4.49,2.78
1245,2.57,Premium,E,SI2,61.3,60.0,17116,8.82,8.73,5.38
1246,1.2,Premium,I,SI1,61.7,56.0,4872,6.82,6.76,4.19
1247,0.33,Premium,E,SI1,60.4,59.0,743,4.47,4.43,2.69
1248,0.57,Premium,F,VS2,59.8,59.0,1760,5.4,5.37,3.22
1249,0.5,Very Good,F,VVS1,63.5,60.0,1978,4.98,5.04,3.18
1250,1.7,Premium,I,VVS2,62.1,59.0,11775,7.6,7.53,4.7
1251,1.51,Fair,I,VS2,64.6,58.0,8287,7.19,7.15,4.63
1252,0.58,Ideal,H,VVS1,62.4,55.0,1961,5.32,5.36,3.33
1253,0.3,Very Good,E,VVS2,59.7,57.0,622,4.37,4.43,2.62
1254,0.35,Ideal,F,IF,60.7,57.0,1073,4.6,4.56,2.78
1255,0.4,Ideal,F,SI1,62.9,57.0,945,4.7,4.68,2.95
1256,0.9,Very Good,G,VS1,61.7,60.0,4872,6.11,6.2,3.8
1257,0.41,Ideal,G,VS2,62.7,55.0,827,4.75,4.79,2.99
1258,1.22,Premium,I,SI1,62.3,58.0,5233,6.77,6.81,4.23
1259,0.34,Premium,I,VVS1,62.4,59.0,626,4.4,4.44,2.76
1260,0.92,Very Good,E,SI1,62.1,58.0,4562,6.15,6.22,3.84
1261,0.5,Premium,D,VS2,62.8,58.0,1758,5.03,5.0,3.15
1262,0.43,Ideal,F,SI2,60.7,57.0,742,4.88,4.91,2.97
1263,0.33,Very Good,G,VVS2,61.9,56.0,692,4.46,4.49,2.77
1264,1.06,Ideal,G,VS1,61.6,56.0,7594,6.53,6.57,4.04
1265,1.02,Premium,J,SI2,62.6,60.0,3599,6.42,6.39,4.01
1266,0.35,Ideal,E,SI2,61.4,56.0,491,4.51,4.55,2.78
1267,0.94,Premium,E,SI1,62.0,58.0,4580,6.27,6.24,3.88
1268,0.56,Ideal,I,VVS1,62.0,56.0,1698,5.29,5.26,3.27
1269,1.22,Ideal,I,VS1,,55.7,6469,6.81,6.84,4.23
1270,0.34,Ideal,D,VS2,62.1,55.0,923,4.49,4.46,2.78
1271,1.7,Ideal,H,VS2,62.3,57.0,11605,7.68,7.65,4.78
1272,0.56,Ideal,F,SI1,61.4,57.0,1441,5.3,5.28,3.25
1273,0.96,Premium,E,SI1,58.7,62.0,4365,6.41,6.39,3.76
1274,0.41,Premium,G,SI1,62.5,58.0,923,4.78,4.75,2.98
1275,0.32,Good,F,SI2,63.8,55.0,421,4.34,4.35,2.77
1276,1.2,Ideal,H,SI2,61.0,57.0,5610,6.84,6.9,4.19
1277,0.83,Premium,H,SI1,62.5,59.0,2825,6.02,5.95,3.74
1278,1.3,Ideal,G,VS2,61.9,55.0,9060,7.01,7.04,4.35
1279,0.53,Premium,G,SI1,62.1,62.0,1206,5.15,5.13,3.19
1280,1.0,Good,E,SI2,64.0,54.0,4026,6.31,6.26,4.01
1281,0.34,Premium,I,VVS1,62.4,59.0,803,4.44,4.4,2.76
1282,0.55,Very Good,F,VS2,62.5,56.0,1625,5.23,5.27,3.28
1283,1.01,Ideal,F,VS2,60.9,58.0,7411,6.43,6.47,3.93
1284,0.35,Very Good,F,SI1,61.0,55.0,590,4.6,4.63,2.81
1285,0.53,Ideal,D,SI1,62.2,56.0,1631,5.19,5.23,3.24
1286,0.33,Ideal,G,VS1,61.9,56.0,854,4.48,4.44,2.76
1287,0.5,Premium,G,VVS2,,60.0,1935,5.13,5.1,3.15
1288,1.16,Ideal,F,VS1,61.9,54.0,9348,6.75,6.79,4.19
1289,1.5,Ideal,F,SI1,62.0,60.0,12466,7.32,7.29,4.53
1290,1.0,Premium,G,VS2,58.6,61.0,6048,6.61,6.57,3.86
1291,1.32,Very Good,F,IF,62.4,58.0,14842,6.97,7.01,4.36
1292,1.11,Premium,F,SI1,60.4,61.0,5091,6.72,6.65,4.04
1293,0.27,Very Good,E,IF,59.7,56.0,760,4.26,4.28,2.55
1294,0.31,Very Good,G,SI2,63.3,54.0,523,4.34,4.29,2.73
1295,0.37,Ideal,E,VS2,61.0,56.0,762,4.64,4.67,2.84
1296,0.4,Ideal,F,VS2,62.3,54.0,767,4.74,4.77,2.96
1297,0.7,Premium,E,VS2,59.5,59.0,2862,5.82,5.77,3.45
1298,0.23,Very Good,E,VVS1,62.1,58.0,530,3.9,3.93,2.43
1299,2.51,Premium,H,SI2,59.3,61.0,14543,8.81,8.77,5.21
1300,1.03,Ideal,E,VS2,61.7,56.0,7533,6.45,6.54,4.01
1301,2.13,Premium,F,SI2,61.5,58.0,17045,8.28,8.33,5.11
1302,0.9,Premium,J,VVS2,62.5,61.0,3459,6.15,6.08,3.82
1303,0.52,Premium,D,VS2,62.4,58.0,1842,5.13,5.09,3.19
1304,1.0,Good,I,SI1,63.7,64.0,3920,6.33,6.27,4.01
1305,0.52,Ideal,D,VS2,61.8,55.0,1822,5.16,5.19,3.2
1306,0.32,Ideal,D,SI1,61.3,55.0,589,4.39,4.42,2.7
1307,0.34,Ideal,H,VVS1,61.1,56.0,751,4.51,4.56,2.77
1308,0.71,Good,F,VS2,63.0,59.0,2320,5.59,5.65,3.54
1309,0.5,Very Good,G,SI1,62.4,52.0,1153,5.1,5.15,3.2
1310,0.71,Ideal,I,VVS1,62.3,56.0,2606,5.7,5.73,3.56
1311,1.9,Premium,F,SI2,62.9,61.0,12812,7.78,7.73,4.88
1312,0.34,Ideal,G,IF,61.3,56.0,974,4.52,4.55,2.78
1313,0.3,Premium,J,SI1,62.7,59.0,450,4.27,4.21,2.66
1314,0.34,Ideal,D,SI1,60.6,56.0,626,4.51,4.54,2.74
1315,1.09,Very Good,H,SI1,63.2,57.0,4871,6.57,6.54,4.14
1316,1.05,Ideal,H,SI1,61.4,57.0,5095,6.49,6.54,4.0
1317,1.54,Premium,G,VVS2,62.2,59.0,15983,7.41,7.37,4.6
1318,0.23,Very Good,F,VVS2,60.4,61.0,505,3.93,3.95,2.38
1319,2.03,Ideal,G,SI2,61.1,57.0,17182,8.16,8.21,5.0
1320,1.04,Premium,H,I1,61.6,61.0,3261,6.47,6.45,3.98
1321,1.21,Ideal,G,VS1,62.2,56.0,9026,6.87,6.85,4.26
1322,1.2,Very Good,E,VVS2,63.2,56.0,11456,6.73,6.78,4.27
1323,0.25,Very Good,E,VVS1,60.2,59.0,575,4.11,4.13,2.48
1324,0.3,Premium,F,SI1,62.1,60.0,641,4.28,4.26,2.65
1325,1.27,Good,J,SI2,66.0,59.0,4542,6.71,6.75,4.44
1326,0.7,Very Good,E,SI1,59.6,63.0,2396,5.72,5.65,3.39
1327,0.32,Ideal,F,VVS1,61.0,56.0,912,4.42,4.43,2.7
1328,0.38,Ideal,H,VS2,62.8,55.0,898,4.66,4.64,2.92
1329,0.7,Ideal,E,VS2,62.5,58.0,2917,5.63,5.67,3.53
1330,0.51,Premium,E,VS2,60.5,56.0,1781,5.24,5.18,3.15
1331,0.72,Premium,E,SI2,62.6,59.0,2355,5.7,5.74,3.58
1332,0.3,Ideal,G,SI2,61.9,57.0,422,4.28,4.31,2.66
1333,0.4,Good,I,VS1,63.8,55.0,737,4.65,4.69,2.98
1334,0.4,Premium,F,VS1,61.5,59.0,1050,4.76,4.71,2.91
1335,0.7,Fair,F,I1,65.4,59.0,992,5.6,5.49,3.63
1336,0.31,Ideal,H,VVS2,62.8,57.0,802,4.33,4.3,2.71
1337,2.03,Ideal,I,VS2,62.7,57.0,16792,8.02,8.05,5.04
1338,1.0,Good,G,VS1,63.9,60.0,6187,6.3,6.35,4.04
1339,0.31,Very Good,G,VVS1,63.4,57.0,1046,4.36,4.32,2.75
1340,1.01,Premium,H,SI2,59.9,59.0,4242,6.51,6.48,3.89
1341,1.5,Ideal,H,VVS1,61.2,57.0,14304,7.34,7.4,4.51
1342,1.15,Premium,H,SI2,59.6,59.0,3735,6.82,6.78,4.05
1343,0.3,Ideal,H,SI1,,56.0,450,4.29,4.31,2.67
1344,1.51,Premium,E,VS2,59.8,58.0,14482,7.55,7.52,4.47
1345,0.32,Ideal,E,VS2,62.2,56.0,702,4.37,4.41,2.73
1346,0.4,Ideal,I,VVS2,61.6,56.0,770,4.75,4.76,2.93
1347,1.01,Good,H,SI1,64.6,56.0,4274,6.17,6.21,4.0
1348,0.74,Ideal,F,VVS2,61.4,56.0,3842,5.83,5.86,3.59
1349,1.03,Ideal,F,VVS1,61.3,54.0,9881,6.56,6.62,4.04
1350,0.61,Premium,I,VS2,61.8,56.0,1438,5.44,5.41,3.35
1351,0.8,Premium,H,SI2,61.6,59.0,2409,5.92,5.86,3.63
1352,0.3,Ideal,H,VS2,61.8,58.0,491,4.26,4.28,2.64
1353,1.08,Premium,H,SI2,61.2,58.0,4717,6.62,6.58,4.04
1354,0.52,Premium,E,SI1,59.0,59.0,1303,5.3,5.21,3.1
1355,1.0,Very Good,H,SI1,61.9,58.0,4953,6.3,6.37,3.92
1356,1.08,Ideal,H,SI2,60.4,57.0,4455,6.63,6.68,4.02
1357,0.41,Ideal,D,SI1,61.4,56.0,1015,4.8,4.77,2.94
1358,0.37,Ideal,I,VS2,61.2,56.0,603,4.62,4.66,2.84
1359,0.31,Good,E,SI1,63.2,59.0,544,4.28,4.33,2.72
1360,1.11,Premium,E,SI1,61.3,58.0,5908,6.66,6.61,4.07
1361,0.31,Very Good,I,VS1,63.2,56.0,628,4.33,4.28,2.72
1362,0.7,Ideal,D,SI1,62.0,54.0,2726,5.73,5.76,3.56
1363,0.35,Good,H,SI1,63.1,58.0,491,4.46,4.51,2.83
1364,0.42,Very Good,D,VS1,60.6,58.0,1009,4.87,4.9,2.96
1365,0.71,Ideal,E,SI2,61.7,57.0,2370,5.72,5.76,3.54
1366,1.51,Premium,H,VS2,61.2,59.0,7534,7.4,7.38,4.52
1367,0.9,Good,E,SI1,63.8,56.0,3510,6.09,6.17,3.91
1368,0.57,Ideal,F,VVS2,62.0,55.0,2339,5.3,5.31,3.29
1369,0.31,Ideal,H,VVS1,61.2,58.0,671,4.35,4.38,2.67
1370,0.53,Very Good,H,SI2,61.4,57.0,1046,5.21,5.25,3.21
1371,1.01,Premium,H,SI1,62.6,61.0,4707,6.39,6.36,3.99
1372,0.7,Very Good,F,SI1,60.6,60.0,2662,5.71,5.75,3.47
1373,0.38,Very Good,E,SI2,62.5,61.0,590,4.59,4.63,2.88
1374,0.4,Ideal,H,VVS1,61.4,57.0,1017,4.74,4.81,2.93
1375,0.91,Very Good,E,SI2,62.9,56.0,3763,6.14,6.17,3.87
1376,0.7,Premium,J,VS2,61.2,60.0,1843,5.7,5.73,3.5
1377,1.22,Ideal,I,SI1,60.2,57.0,5807,6.99,6.93,4.19
1378,1.52,Ideal,F,SI1,62.3,55.1,11971,7.29,7.39,4.58
1379,2.2,Premium,J,VS1,61.7,59.0,15201,8.34,8.3,5.13
1380,0.4,Ideal,F,VS2,61.0,62.0,867,4.71,4.74,2.88
1381,1.52,Very Good,G,VS2,63.4,58.0,11986,7.31,7.24,4.61
1382,0.76,Very Good,E,SI1,60.4,58.0,3261,5.91,5.97,3.59
1383,0.5,Ideal,D,SI1,61.8,55.0,1848,5.11,5.15,3.17
1384,0.46,Very Good,D,SI2,62.0,60.0,844,4.89,4.92,3.04
1385,1.06,Premium,E,SI2,60.5,60.0,4652,6.61,6.67,4.02
1386,1.64,Ideal,I,VS2,62.5,56.0,10562,7.58,7.52,4.72
1387,0.55,Ideal,D,VS2,61.5,56.0,1928,5.25,5.28,3.24
1388,0.51,Very Good,F,VVS2,62.0,55.0,2041,5.11,5.14,3.17
1389,0.52,Premium,F,VS2,60.2,59.0,1451,5.19,5.21,3.13
1390,0.71,Very Good,E,SI1,59.3,59.0,2590,5.83,5.87,3.47
1391,0.65,Very Good,G,VVS2,61.3,59.0,2178,5.51,5.61,3.41
1392,0.34,Premium,G,IF,60.5,58.0,939,4.52,4.47,2.72
1393,0.9,Very Good,I,VVS1,63.4,57.0,3872,6.09,6.12,3.87
1394,0.34,Premium,G,VS2,61.2,59.0,765,4.49,4.43,2.73
1395,0.3,Good,F,SI1,63.6,55.0,641,4.33,4.28,2.74
1396,1.0,Very Good,D,VS2,63.4,59.0,5169,6.35,6.3,4.01
1397,0.7,Ideal,H,VVS1,62.0,55.0,2881,5.74,5.71,3.55
1398,1.0,Very Good,H,SI1,62.4,58.0,4574,6.37,6.42,3.99
1399,1.01,Ideal,I,VS1,61.1,54.0,5182,6.46,6.48,3.95
1400,0.73,Very Good,E,SI2,59.6,57.0,2359,5.87,5.91,3.51
1401,0.7,Ideal,H,SI1,62.0,55.0,2184,5.71,5.68,3.53
1402,0.7,Premium,F,VS2,61.2,59.0,2459,5.73,5.68,3.49
1403,1.37,Ideal,E,VS2,60.3,54.0,11314,7.26,7.2,4.36
1404,1.02,Premium,H,SI2,62.5,54.0,4284,6.44,6.4,4.01
1405,0.43,Premium,G,VS1,61.8,59.0,1008,4.88,4.83,3.0
1406,0.8,Premium,F,SI2,61.4,58.0,2447,5.95,5.93,3.65
1407,0.41,Ideal,E,SI1,62.9,56.0,969,4.76,4.72,2.98
1408,0.23,Good,E,VVS1,64.4,57.0,472,3.87,3.9,2.5
1409,2.1,Very Good,I,SI1,59.9,61.0,15474,8.26,8.34,4.97
1410,0.71,Premium,G,VS2,60.4,61.0,2515,5.81,5.77,3.5
1411,0.7,Premium,I,SI2,62.4,58.0,1890,5.68,5.64,3.53
1412,0.4,Premium,G,SI1,59.4,60.0,870,4.85,4.82,2.87
1413,0.91,Very Good,G,SI1,63.6,57.0,3961,6.09,6.12,3.88
1414,1.5,Ideal,F,VS2,61.9,56.0,15584,7.33,7.31,4.53
1415,1.01,Good,F,VS2,63.2,58.0,5988,6.33,6.36,4.01
1416,0.51,Very Good,E,VVS2,62.1,55.0,2056,5.14,5.16,3.2
1417,0.81,Good,D,SI1,64.1,54.0,3324,5.92,5.96,3.81
1418,0.41,Ideal,H,SI1,62.4,53.0,722,4.78,4.81,2.99
1419,0.36,Premium,G,VS1,62.3,59.0,726,4.5,4.55,2.82
1420,1.2,Ideal,H,SI1,62.2,56.0,6471,6.8,6.77,4.23
1421,0.76,Very Good,E,SI2,60.8,60.0,2831,5.89,5.98,3.61
1422,0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58
1423,0.6,Ideal,E,SI2,62.5,57.0,1385,5.37,5.39,3.36
1424,0.58,Fair,F,SI2,64.7,56.0,1088,5.31,5.24,3.41
1425,0.33,Ideal,G,IF,61.0,56.0,946,4.48,4.5,2.74
1426,0.41,Ideal,E,SI2,61.9,57.0,683,4.76,4.8,2.96
1427,0.51,Premium,G,VS2,61.3,59.0,1443,5.17,5.11,3.15
1428,1.03,Ideal,F,SI1,61.3,56.0,5595,6.55,6.51,4.0
1429,0.9,Premium,E,SI2,60.7,61.0,3084,6.22,6.16,3.76
1430,1.71,Ideal,I,VS2,61.9,54.0,12342,7.65,7.75,4.77
1431,0.68,Premium,G,VS2,61.6,59.0,2081,5.65,5.64,3.48
1432,1.32,Premium,I,SI2,60.8,58.0,4704,7.03,7.11,4.3
1433,0.42,Ideal,E,VS1,60.9,57.0,1372,4.83,4.86,2.95
1434,0.76,Ideal,I,IF,61.6,55.0,2988,5.92,5.89,3.64
1435,0.38,Premium,J,VS1,62.1,60.0,770,4.64,4.6,2.87
1436,0.71,Ideal,E,VS1,61.8,55.0,3332,5.72,5.77,3.55
1437,1.5,Premium,J,SI2,61.3,59.0,5351,7.38,7.33,4.51
1438,0.81,Ideal,E,VS2,62.0,55.0,3601,5.97,5.99,3.71
1439,0.4,Ideal,I,VS2,62.2,55.0,667,4.73,4.75,2.95
1440,0.3,Ideal,D,VS2,62.4,56.0,911,4.32,4.27,2.68
1441,1.51,Premium,E,VS2,60.1,58.0,15025,7.57,7.51,4.53
1442,1.01,Premium,F,SI2,61.6,58.0,4497,6.45,6.4,3.96
1443,1.24,Fair,H,SI2,65.0,54.0,5208,6.76,6.73,4.38
1444,1.0,Very Good,G,SI1,63.3,60.0,4626,6.33,6.24,3.98
1445,0.32,Ideal,F,VVS1,61.7,55.0,867,4.38,4.43,2.72
1446,0.84,Ideal,I,VS1,61.4,57.0,3201,6.03,6.09,3.72
1447,1.35,Ideal,J,VS1,62.3,54.0,6048,7.17,7.06,4.43
1448,0.7,Ideal,F,SI1,60.6,56.0,2551,5.72,5.79,3.49
1449,1.05,Fair,G,VS2,65.5,57.0,5673,6.38,6.34,4.17
1450,0.3,Good,G,VS1,63.1,56.0,605,4.24,4.26,2.68
